Species,Province/State,Price,Number of days,Day price,S Rank,Status,Classification,Avg Mass,SCI,Latitude
Mountain Lion,Alberta,15930,10,1593,S4,4,Carnivore,60.4,Y,54.5
Mountain Lion,Alberta,9500,10,950,S4,4,Carnivore,60.4,Y,54.5
Mountain Lion,Alberta,10000,10,1000,S4,4,Carnivore,60.4,Y,54.5
Mountain Lion,Alberta,12500,10,1250,S4,4,Carnivore,60.4,Y,54.5
Mountain Lion,Arizona,5000,5,1000,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,7500,7,1071,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,4000,7,571,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,5000,6,833,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,4500,5,900,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,6500,6,1083,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,Arizona,4500,5,900,S4,4,Carnivore,60.4,Y,34.1661
Mountain Lion,British Columbia,8000,7,1143,S4,4,Carnivore,60.4,Y,54.149015
Mountain Lion,British Columbia,7500,6,1250,S4,4,Carnivore,60.4,Y,54.149015
Mountain Lion,British Columbia,9900,7,1414,S4,4,Carnivore,60.4,Y,54.149015
Mountain Lion,British Columbia,9500,8,1188,S4,4,Carnivore,60.4,Y,54.149015
Mountain Lion,British Columbia,10000,6,1667,S4,4,Carnivore,60.4,Y,54.149015
Mountain Lion,Colorado,6000,5,1200,S4,4,Carnivore,60.4,Y,38.99625
Mountain Lion,Colorado,4500,6,750,S4,4,Carnivore,60.4,Y,38.99625
Mountain Lion,Colorado,7180,6,1197,S4,4,Carnivore,60.4,Y,38.99625
Mountain Lion,Colorado,4500,5,900,S4,4,Carnivore,60.4,Y,38.99625
Mountain Lion,Colorado,5600,5,1120,S4,4,Carnivore,60.4,Y,38.99625
Mountain Lion,Idaho,7000,8,875,S5,5,Carnivore,60.4,Y,45.5
Mountain Lion,Idaho,6300,7,900,S5,5,Carnivore,60.4,Y,45.5
Mountain Lion,Idaho,5800,7,829,S5,5,Carnivore,60.4,Y,45.5
Mountain Lion,Idaho,4800,8,600,S5,5,Carnivore,60.4,Y,45.5
Mountain Lion,Idaho,5200,7,743,S5,5,Carnivore,60.4,Y,45.5
Mountain Lion,Montana,6500,7,929,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,7500,5,1500,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,5200,8,650,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,5750,7,821,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,3500,3,1167,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,5200,6,867,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Montana,5500,7,786,S4,4,Carnivore,60.4,Y,46.6843885
Mountain Lion,Nevada,6500,5,1300,S5,5,Carnivore,60.4,Y,38.5035905
Mountain Lion,Nevada,4500,5,900,S5,5,Carnivore,60.4,Y,38.5035905
Mountain Lion,Nevada,6000,7,857,S5,5,Carnivore,60.4,Y,38.5035905
Mountain Lion,Nevada,5500,6,917,S5,5,Carnivore,60.4,Y,38.5035905
Mountain Lion,Nevada,3850,5,770,S5,5,Carnivore,60.4,Y,38.5035905
Mountain Lion,New Mexico,6000,5,1200,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,New Mexico,5500,5,1100,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,New Mexico,5500,5,1100,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,New Mexico,5416,5,1083,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,New Mexico,6000,10,600,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,New Mexico,4500,5,900,S3,3,Carnivore,60.4,Y,34.1669615
Mountain Lion,Utah,4500,5,900,S4,4,Carnivore,60.4,Y,39.5
Mountain Lion,Utah,5500,5,1100,S4,4,Carnivore,60.4,Y,39.5
Mountain Lion,Utah,5500,5,1100,S4,4,Carnivore,60.4,Y,39.5
Mountain Lion,Utah,5250,5,1050,S4,4,Carnivore,60.4,Y,39.5
Mountain Lion,Utah,3400,5,680,S4,4,Carnivore,60.4,Y,39.5
Mountain Lion,Wyoming,5000,6,833,S4,4,Carnivore,60.4,Y,43
Mountain Lion,Wyoming,6000,5,1200,S4,4,Carnivore,60.4,Y,43
Mountain Lion,Wyoming,6500,7,929,S4,4,Carnivore,60.4,Y,43
Mountain Lion,Wyoming,5000,5,1000,S4,4,Carnivore,60.4,Y,43
Mountain Lion,Wyoming,5495,5,1099,S4,4,Carnivore,60.4,Y,43
Mountain Lion,Wyoming,6372,7,910,S4,4,Carnivore,60.4,Y,43
Black Bear,Arizona,3500,5,700,S5,5,Carnivore,200,N,34.1661
Black Bear,Arizona,3800,5,760,S5,5,Carnivore,200,N,34.1661
Black Bear,Arizona,4950,5,990,S5,5,Carnivore,200,N,34.1661
Black Bear,Arizona,4000,5,800,S5,5,Carnivore,200,N,34.1661
Black Bear,Arizona,3000,5,600,S5,5,Carnivore,200,N,34.1661
Black Bear,British Columbia,4500,5.6,804,S5,5,Carnivore,200,N,54.149015
Black Bear,British Columbia,3950,6,658,S5,5,Carnivore,200,N,54.149015
Black Bear,British Columbia,4250,7,607,S5,5,Carnivore,200,N,54.149015
Black Bear,British Columbia,4500,5,900,S5,5,Carnivore,200,N,54.149015
Black Bear,British Columbia,4950,5,990,S5,5,Carnivore,200,N,54.149015
Black Bear,British Columbia,2950,5,590,S5,5,Carnivore,200,N,54.149015
Black Bear,California,2400,5,480,,,Carnivore,200,N,37.2673795
Black Bear,Colorado,1500,3,500,S5,5,Carnivore,200,N,38.99625
Black Bear,Colorado,3500,5,700,S5,5,Carnivore,200,N,38.99625
Black Bear,Colorado,3500,5,700,S5,5,Carnivore,200,N,38.99625
Black Bear,Colorado,5000,5,1000,S5,5,Carnivore,200,N,38.99625
Black Bear,Colorado,4000,4,1000,S5,5,Carnivore,200,N,38.99625
Black Bear,Georgia,1500,3,500,S4,4,Carnivore,200,N,32.6784
Black Bear,Georgia,1750,3,583,S4,4,Carnivore,200,N,32.6784
Black Bear,Montana,3100,5,620,S5,5,Carnivore,200,N,46.6843885
Black Bear,Montana,2800,5,560,S5,5,Carnivore,200,N,46.6843885
Black Bear,Montana,4500,5,900,S5,5,Carnivore,200,N,46.6843885
Black Bear,Montana,3800,6,633,S5,5,Carnivore,200,N,46.6843885
Black Bear,Montana,2875,6,479,S5,5,Carnivore,200,N,46.6843885
Black Bear,New Mexico,4078,5,816,S4,4,Carnivore,200,N,34.1669615
Black Bear,New Mexico,3823,4,956,S4,4,Carnivore,200,N,34.1669615
Black Bear,New Mexico,3300,5,660,S4,4,Carnivore,200,N,34.1669615
Black Bear,New Mexico,5416,5,1083,S4,4,Carnivore,200,N,34.1669615
Black Bear,New Mexico,3250,5,650,S4,4,Carnivore,200,N,34.1669615
Black Bear,New York,1000,5,200,S5,5,Carnivore,200,N,42.755
Black Bear,North Carolina,2750,3,917,S4,4,Carnivore,200,N,35.212865
Black Bear,North Carolina,2000,2,1000,S4,4,Carnivore,200,N,35.212865
Black Bear,North Carolina,2500,4,625,S4,4,Carnivore,200,N,35.212865
Black Bear,North Carolina,2500,5,500,S4,4,Carnivore,200,N,35.212865
Black Bear,North Carolina,2100,5,420,S4,4,Carnivore,200,N,35.212865
Black Bear,Oklahoma,2000,3,667,S1,1,Carnivore,200,N,35.307778
Black Bear,Oregon,2495,7,356,S4,4,Carnivore,200,N,44.145855
Black Bear,Oregon,3650,5,730,S4,4,Carnivore,200,N,44.145855
Black Bear,Pennsylvania,900,3,300,S5,5,Carnivore,200,N,41.1098235
Black Bear,Pennsylvania,1675,3,558,S5,5,Carnivore,200,N,41.1098235
Black Bear,Vermont,3250,5,650,S5,5,Carnivore,200,N,43.8692575
Black Bear,Vermont,3500,5,700,S5,5,Carnivore,200,N,43.8692575
Black Bear,Virginia,3500,5,700,S4,4,Carnivore,200,N,38.003375
Black Bear,Washington,2150,5,430,S5,5,Carnivore,200,N,47.275
Black Bear,Washington,4550,5,910,S5,5,Carnivore,200,N,47.275
Black Bear,Washington,2750,5,550,S5,5,Carnivore,200,N,47.275
Black Bear,Washington,2750,5,550,S5,5,Carnivore,200,N,47.275
Black Bear,Washington,2995,6,499,S5,5,Carnivore,200,N,47.275
Black Bear,Yukon,16000,12,1333,S5,5,Carnivore,200,N,64.8075965
Brown Bear,Alaska,25000,12,2083,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,18500,14,1321,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,15900,12,1325,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,12750,10,1275,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,22000,10,2200,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,26500,14,1893,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,28750,16,1797,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,24000,7,3429,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,19750,10,1975,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,23250,12,1938,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,14000,9,1556,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,12750,11,1159,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,12500,10,1250,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,19500,10,1950,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,15500,10,1550,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,Alaska,15250,10,1525,S4,4,Carnivore,343.75,Y,61.3009
Brown Bear,British Columbia,18000,12,1500,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,British Columbia,16500,10.4,1587,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,British Columbia,16950,10,1695,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,British Columbia,17950,10,1795,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,British Columbia,14000,10,1400,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,British Columbia,15000,10,1500,S3,3,Carnivore,343.75,Y,54.149015
Brown Bear,Nunavut,15500,10,1550,S3S4,3.5,Carnivore,343.75,Y,67.3534075
Brown Bear,Yukon,22000,10,2200,S3,3,Carnivore,343.75,Y,64.8075965
Brown Bear,Yukon,28500,10,2850,S3,3,Carnivore,343.75,Y,64.8075965
Brown Bear,Yukon,21500,10,2150,S3,3,Carnivore,343.75,Y,64.8075965
Brown Bear,Yukon,14350,10,1435,S3,3,Carnivore,343.75,Y,64.8075965
Brown Bear,Yukon,19450,10,1945,S3,3,Carnivore,343.75,Y,64.8075965
Polar Bear,Nunavut,43950,10,4395,S3,3,Carnivore,405,Y,69.3764755
Polar Bear,Nunavut,40850,10,4085,S3,3,Carnivore,405,Y,69.3764755
Polar Bear,Nunavut,46950,10,4695,S3,3,Carnivore,405,Y,67.3534075
Polar Bear,Nunavut,49950,10,4995,S3,3,Carnivore,405,Y,67.3534075
Polar Bear,Northwest Territories,35000,14,2500,S3,3,Carnivore,405,Y,67.3534075
Polar Bear,Northwest Territories,24500,10,2450,S3,3,Carnivore,405,Y,67.3534075
Muskox,Nunavut,9450,6,1575,S4,4,Ungulate,340,N,69.3764755
Muskox,Nunavut,11771,7,1682,S4,4,Ungulate,340,N,69.3764755
Muskox,Nunavut,8950,6,1492,S4,4,Ungulate,340,N,69.3764755
Muskox,Nunavut,8650,5,1730,S4,4,Ungulate,340,N,69.3764755
Muskox,Nunavut,8450,5,1690,S4,4,Ungulate,340,N,67.3534075
Muskox,Northwest Territories,8900,5,1780,S5,5,Ungulate,340,N,67.3534075
Muskox,Northwest Territories,7500,5,1500,S5,5,Ungulate,340,N,67.3534075
Muskox,Northwest Territories,7500,4,1875,S5,5,Ungulate,340,N,67.3534075
Muskox,Northwest Territories,7500,5,1500,S5,5,Ungulate,340,N,67.3534075
Gray Wolf,Alaska,5500,9,611,S4,4,Carnivore,45,Y,61.3009
Gray Wolf,Alaska,4250,9,472,S4,4,Carnivore,45,Y,61.3009
Gray Wolf,Idaho,2500,5,500,S3,3,Carnivore,45,Y,45.5
Gray Wolf,Idaho,3500,4,875,S3,3,Carnivore,45,Y,45.5
Gray Wolf,Idaho,3800,7,543,S3,3,Carnivore,45,Y,45.5
Gray Wolf,Idaho,2800,4,700,S3,3,Carnivore,45,Y,45.5
Gray Wolf,Idaho,3400,5,680,S3,3,Carnivore,45,Y,45.5
Gray Wolf,Montana,3800,5,760,S4,4,Carnivore,45,Y,46.6843885
Gray Wolf,Montana,5200,6,867,S4,4,Carnivore,45,Y,46.6843885
Gray Wolf,Montana,4843,6,807,S4,4,Carnivore,45,Y,46.6843885
Gray Wolf,Montana,1500,3,500,S4,4,Carnivore,45,Y,46.6843885
Gray Wolf,Montana,3755,5,751,S4,4,Carnivore,45,Y,46.6843885
Gray Wolf,Northwest Territories,7500,8,938,S5,5,Carnivore,45,Y,69.3764755
Gray Wolf,Northwest Territories,5250,12,438,S5,5,Carnivore,45,Y,69.3764755
Gray Wolf,Northwest Territories,8284,10,828,S5,5,Carnivore,45,Y,69.3764755
Gray Wolf,Northwest Territories,8284,10,828,S5,5,Carnivore,45,Y,69.3764755
Gray Wolf,Nunavut,4795,5,959,S5,5,Carnivore,45,Y,67.3534075
Gray Wolf,Nunavut,7000,6,1167,S5,5,Carnivore,45,Y,67.3534075
Thinhorn Sheep,Alaska,16900,12,1408,S5,5,Ungulate,86.28,Y,61.3009
Thinhorn Sheep,Alaska,15250,10,1525,S5,5,Ungulate,86.28,Y,61.3009
Thinhorn Sheep,Alaska,18750,11,1705,S5,5,Ungulate,86.28,Y,61.3009
Thinhorn Sheep,Alaska,18250,11,1659,S5,5,Ungulate,86.28,Y,61.3009
Thinhorn Sheep,Alaska,14450,10,1445,S5,5,Ungulate,86.28,Y,61.3009
Thinhorn Sheep,Northwest Territories,24000,10,2400,S4,4,Ungulate,86.28,Y,54.149015
Thinhorn Sheep,Northwest Territories,21683,10,2168,S4,4,Ungulate,86.28,Y,54.149015
Thinhorn Sheep,Northwest Territories,23500,10,2350,S4,4,Ungulate,86.28,Y,54.149015
Thinhorn Sheep,Northwest Territories,25000,10,2500,S4,4,Ungulate,86.28,Y,54.149015
Thinhorn Sheep,Northwest Territories,23550,10,2355,S4,4,Ungulate,86.28,Y,54.149015
Thinhorn Sheep,Yukon,20000,12,1667,S4,4,Ungulate,86.28,Y,69.3764755
Thinhorn Sheep,Yukon,19500,11,1773,S4,4,Ungulate,86.28,Y,69.3764755
Thinhorn Sheep,Yukon,23000,10,2300,S4,4,Ungulate,86.28,Y,69.3764755
Thinhorn Sheep,Yukon,28500,10,2850,S4,4,Ungulate,86.28,Y,69.3764755
Thinhorn Sheep,Yukon,23600,10.75,2195,S4,4,Ungulate,86.28,Y,69.3764755
Thinhorn Sheep,British Columbia,42500,14,3036,S4,4,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,British Columbia,39950,13,3073,S4,4,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,British Columbia,48000,14,3429,S4,4,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,British Columbia,31950,10,3195,S4,4,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,British Columbia,42500,14,3036,S4,4,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,Yukon,44500,14,3179,S5,5,Ungulate,86.28,Y,64.8075965
Thinhorn Sheep,Yukon,34000,12,2833,S5 ,5,Ungulate,86.28,Y,64.8075965
Mountain Goat,Alaska,7250,7,1036,S4,4,Ungulate,90.61,Y,61.3009
Mountain Goat,Alaska,9500,7,1357,S4,4,Ungulate,90.61,Y,61.3009
Mountain Goat,Alaska,10000,7,1429,S4,4,Ungulate,90.61,Y,61.3009
Mountain Goat,Alaska,12950,7,1850,S4,4,Ungulate,90.61,Y,61.3009
Mountain Goat,Alaska,7900,7,1129,S4,4,Ungulate,90.61,Y,61.3009
Mountain Goat,British Columbia,14000,9,1556,S4,4,Ungulate,90.61,Y,54.149015
Mountain Goat,British Columbia,10950,10,1095,S4,4,Ungulate,90.61,Y,54.149015
Mountain Goat,British Columbia,7900,9.75,810,S4,4,Ungulate,90.61,Y,54.149015
Mountain Goat,British Columbia,13381,10,1338,S4,4,Ungulate,90.61,Y,54.149015
Mountain Goat,British Columbia,7925,10,793,S4,4,Ungulate,90.61,Y,54.149015
Mountain Goat,Colorado,4500,5,900,,,Ungulate,90.61,Y,38.99625
Mountain Goat,Colorado,3500,4,875,,,Ungulate,90.61,Y,38.99625
Mountain Goat,Colorado,4500,4,1125,,,Ungulate,90.61,Y,38.99625
Mountain Goat,Colorado,4000,5,800,,,Ungulate,90.61,Y,38.99625
Mountain Goat,Colorado,5500,6,917,,,Ungulate,90.61,Y,38.99625
Mountain Goat,Idaho,5500,6,917,S2,2,Ungulate,90.61,Y,45.5
Mountain Goat,Idaho,6000,6,1000,S2,2,Ungulate,90.61,Y,45.5
Mountain Goat,Idaho,7500,8,938,S2,2,Ungulate,90.61,Y,45.5
Mountain Goat,Idaho,4750,4,1188,S2,2,Ungulate,90.61,Y,45.5
Mountain Goat,Montana,5000,5,1000,S4,4,Ungulate,90.61,Y,46.6843885
Mountain Goat,Montana,6000,6,1000,S4,4,Ungulate,90.61,Y,46.6843885
Mountain Goat,Montana,4500,5.25,857,S4,4,Ungulate,90.61,Y,46.6843885
Mountain Goat,Montana,4500,5,900,S4,4,Ungulate,90.61,Y,46.6843885
Mountain Goat,Montana,4400,5,880,S4,4,Ungulate,90.61,Y,46.6843885
Mountain Goat,Northwest Territories,12650,7,1807,S2,2,Ungulate,90.61,Y,69.3764755
Mountain Goat,Northwest Territories,8150,7,1164,S2,2,Ungulate,90.61,Y,69.3764755
Mountain Goat,Utah,3000,5,600,,,Ungulate,90.61,Y,39.5
Mountain Goat,Utah,5500,5,1100,,,Ungulate,90.61,Y,39.5
Mountain Goat,Utah,8284,9,920,,,Ungulate,90.61,Y,39.5
Mountain Goat,Utah,6500,5,1300,,,Ungulate,90.61,Y,39.5
Mountain Goat,Utah,4750,7,679,,,Ungulate,90.61,Y,39.5
Mountain Goat,Wyoming,7000,10,700,,,Ungulate,90.61,Y,43
Mountain Goat,Wyoming,5000,7,714,,,Ungulate,90.61,Y,43
Mountain Goat,Wyoming,8000,7.75,1032,,,Ungulate,90.61,Y,43
Mountain Goat,Wyoming,6500,7,929,,,Ungulate,90.61,Y,43
Mountain Goat,Wyoming,6000,7,857,,,Ungulate,90.61,Y,43
Mountain Goat,Yukon,15600,10.86,1436,S3,3,Ungulate,90.61,Y,64.8075965
Bighorn Sheep,Alberta,57348,15,3823,S4,4,Ungulate,94.67,Y,54.5
Bighorn Sheep,Alberta,55000,14,3929,S4,4,Ungulate,94.67,Y,54.5
Bighorn Sheep,Alberta,50000,15,3333,S4,4,Ungulate,94.67,Y,54.5
Bighorn Sheep,Alberta,45000,14,3214,S4,4,Ungulate,94.67,Y,54.5
Bighorn Sheep,Alberta,33000,14,2357,S4,4,Ungulate,94.67,Y,54.5
